path;link;size;format;origem
Crazy Taxi (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Crazy%20Taxi%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Cubivore (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Cubivore%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Cubix Robots for Everyone - Showdown (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Cubix%20Robots%20for%20Everyone%20-%20Showdown%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Curious George (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Curious%20George%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Custom Robo (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Custom%20Robo%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Dakar 2 - The World's Ultimate Rally (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Dakar%202%20-%20The%20World%27s%20Ultimate%20Rally%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Dance Dance Revolution - Mario Mix (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Dance%20Dance%20Revolution%20-%20Mario%20Mix%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Dark Summit (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Dark%20Summit%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Darkened Skye (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Darkened%20Skye%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Dave Mirra Freestyle BMX 2 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Dave%20Mirra%20Freestyle%20BMX%202%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Dead to Rights (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Dead%20to%20Rights%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Def Jam - Fight for NY (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Def%20Jam%20-%20Fight%20for%20NY%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
