nome;preco;url;vendidos;estrelas;qtd-perguntas;data-ultima-pergunta;freteGratis;condicao
Relógio Brad Pitt Fury;38.0;https://produto.mercadolivre.com.br/MLB-1433886024-relogio-brad-pitt-fury-_JM#position=44&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Militar Gemius Army Estilo 2ª Guerra Mundial Verde;60.0;https://produto.mercadolivre.com.br/MLB-1406010407-relogio-militar-gemius-army-estilo-2-guerra-mundial-verde-_JM#position=45&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Esportivo Militar Super Promoção!!!;24.99;https://produto.mercadolivre.com.br/MLB-1399498446-relogio-esportivo-militar-super-promoco-_JM#position=46&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Militar Gemius Army Estilo 2º Guerra Mundial Azul;60.0;https://produto.mercadolivre.com.br/MLB-1406010942-relogio-militar-gemius-army-estilo-2-guerra-mundial-azul-_JM#position=47&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Militar Gemius Army Azul.;30.0;https://produto.mercadolivre.com.br/MLB-1445312574-relogio-militar-gemius-army-azul-_JM#position=48&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Usado
Relógio De Pulso- Militar Gemius Army 2018;30.0;https://produto.mercadolivre.com.br/MLB-1395210824-relogio-de-pulso-militar-gemius-army-2018-_JM#position=49&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relogio De Pulso;35.0;https://produto.mercadolivre.com.br/MLB-1396355152-relogio-de-pulso-_JM#position=50&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Militar Gemius Army;69.9;https://produto.mercadolivre.com.br/MLB-1437877293-relogio-militar-gemius-army-_JM#position=1&type=item&tracking_id=21fdbf11-0730-464d-b908-8da7772d5606;;;0;;False;Novo
Relógio De Pulso Analógico Masculino Gêmius Army;29.99;https://produto.mercadolivre.com.br/MLB-848841204-relogio-de-pulso-analogico-masculino-gmius-army-_JM#position=2&type=item&tracking_id=21fdbf11-0730-464d-b908-8da7772d5606;1;;9;16/7/2019 13:12;False;Novo
Gemius Army Racing Force Militar Sport Mens Tecido Relógio P;47.1;https://produto.mercadolivre.com.br/MLB-1359668346-gemius-army-racing-force-militar-sport-mens-tecido-relogio-p-_JM#position=3&type=item&tracking_id=21fdbf11-0730-464d-b908-8da7772d5606;;;0;;True;Novo
